smi,name,subclass,T_C,tmax,log_tmax,k_f,k_d,censored,model,q_C,d_LiC,%Vbur,BDE,Gsolv,HOMO,eta,fukui,B1,B5,L,vol,dipole,q_Li
[Li]Cc1ccc(C=O)cc1,p-formylbenzyllithium,other,-60.0,0.00012348,-3.9084033791899424,126121.0,0.0217448,False,competing,-0.2499,1.9785,0.3163,363.5,-78.10000000000001,-9.094,2.0599999999999996,-0.0616,1.82,7.8537,4.1985,154.14,8.455,0.5015000000000001
[Li]Cc1ccc(C=O)cc1,p-formylbenzyllithium,other,-40.0,0.000121526,-3.9153307965632735,121945.0,0.0446827,False,competing,-0.2499,1.9785,0.3163,363.5,-78.10000000000001,-9.094,2.0599999999999996,-0.0616,1.82,7.8537,4.1985,154.14,8.455,0.5015000000000001
[Li]Cc1ccc(C=O)cc1,p-formylbenzyllithium,other,-20.0,0.000122082,-3.913348364531323,119318.0,0.0563024,False,competing,-0.2499,1.9785,0.3163,363.5,-78.10000000000001,-9.094,2.0599999999999996,-0.0616,1.82,7.8537,4.1985,154.14,8.455,0.5015000000000001
[Li]Cc1ccc(C=O)cc1,p-formylbenzyllithium,other,0.0,5.08339e-05,-4.293846569748306,217468.0,3.43925,False,competing,-0.2499,1.9785,0.3163,363.5,-78.10000000000001,-9.094,2.0599999999999996,-0.0616,1.82,7.8537,4.1985,154.14,8.455,0.5015000000000001
[Li][C@@]1(c2ccccc2)O[C@@H]1c1ccccc1,"lithium (2R*,3S*)-2,3-diphenyloxiran-2-ide",oxiranylLi,-48.0,0.1739850835707232,-0.7594879839048384,50.6287,,True,formation_only,-0.1426,1.9055,0.3176,451.6,-76.05,-8.807,2.7760000000000007,-0.0764,1.82,5.7256,4.1255,224.7,5.307,0.5059
[Li][C@@]1(c2ccccc2)O[C@@H]1c1ccccc1,"lithium (2R*,3S*)-2,3-diphenyloxiran-2-ide",oxiranylLi,-28.0,0.08186795189320831,-1.0868860743057391,117.914,,True,formation_only,-0.1426,1.9055,0.3176,451.6,-76.05,-8.807,2.7760000000000007,-0.0764,1.82,5.7256,4.1255,224.7,5.307,0.5059
[Li][C@@]1(c2ccccc2)O[C@@H]1c1ccccc1,"lithium (2R*,3S*)-2,3-diphenyloxiran-2-ide",oxiranylLi,0.0,0.0332578,-1.478106482701012,246.174,0.0686402,False,competing,-0.1426,1.9055,0.3176,451.6,-76.05,-8.807,2.7760000000000007,-0.0764,1.82,5.7256,4.1255,224.7,5.307,0.5059
[Li][C@@]1(c2ccccc2)O[C@@H]1c1ccccc1,"lithium (2R*,3S*)-2,3-diphenyloxiran-2-ide",oxiranylLi,24.0,0.0217817,-1.6619082278030468,253.461,1.03768,False,competing,-0.1426,1.9055,0.3176,451.6,-76.05,-8.807,2.7760000000000007,-0.0764,1.82,5.7256,4.1255,224.7,5.307,0.5059
[Li][C@]1(c2ccccc2)CN1S(=O)(=O)C(C)(C)C,lithiated 1-tert-butylsulfonyl-2-phenylaziridine,other,-48.0,4.7729785414198265,0.678789481849188,1.0385,,True,formation_only,-0.168,2.0174000000000003,0.4385,580.6,-79.93,-8.871,3.2920000000000007,-0.0966,2.616,6.8153,4.5793,253.32,4.993,0.5537000000000001
[Li][C@]1(c2ccccc2)CN1S(=O)(=O)C(C)(C)C,lithiated 1-tert-butylsulfonyl-2-phenylaziridine,other,-38.0,2.684998529223714,0.4289440521397829,2.10298,,True,formation_only,-0.168,2.0174000000000003,0.4385,580.6,-79.93,-8.871,3.2920000000000007,-0.0966,2.616,6.8153,4.5793,253.32,4.993,0.5537000000000001
